address,areacode,endDate,mapx,mapy,readcount,sigungucode,startDate,title
서울특별시 송파구 양재대로 932,1,20191012,127.1109831778,37.4960925880,8205,18,20191011,가락몰 페스티벌 2019
강원도 정선군 북평면 중봉길 41-35,32,20190817,128.6097538017,37.4742535268,0,11,20190816,가리왕산 뮤직 페스티벌 2019
전라북도 전주시 덕진구 기린대로 451,37,20190810,127.1271379505,35.8407442535,35598,12,20190808,가맥축제 2019
경상남도 밀양시 중앙로 324 영남루 및 밀양강 야외 공연장 일대,36,20191019,128.7552590901,35.4921350361,2050,7,20191018,"가을 밀양강 오딧세이 ""아리랑 환타지! 밀양!"" 2019"
경기도 광주시 도척면 도척윗로 278,31,20191110,127.2922239974,37.3374836915,0,5,20191012,가을 화담숲 단풍 축제 2019
"부산광역시 부산진구 서면문화로 32 3,4층",6,20190929,129.0563669161,35.1599862176,0,7,20190926,가을맥주페스타 2019
부산광역시 사하구 낙동남로1233번길 1,6,20190928,128.9474472484,35.1083149990,0,10,20190928,가족사랑 걷기대회 2019
대구광역시 서구 문화로 122,4,20190727,128.5454780875,35.8736186548,1367,6,20190727,가족사랑 아이스축제 2019
강원도 고성군 죽왕면 삼포리 1-1,32,20191231,128.5370623742,38.3128520737,10074,2,20190101,가족여행과 함께하는 고성 오션투유 삼포해수욕장 연날리기 축제 2019
서울특별시 서대문구 증가로10길 28,1,20191019,126.9238923275,37.5784852121,0,14,20191018,"가좌아트위크 '잠시, 쉬어가좌' 2019"
제주특별자치도 서귀포시 대정읍,39,20190512,126.2717384970,33.1701766897,73844,3,20190330,가파도청보리축제 2019
경기도 가평군 청평면 에덴벚꽃길 189,31,20190421,127.4864296700,37.7815968116,15445,1,20190412,가평 에덴벚꽃길 벚꽃축제 2019
경기도 가평군 가평읍 달전리 1-1,31,20190922,127.5309525109,37.8117052413,14975,1,20190920,가평 자라섬 전국 막걸리 페스티벌 2019
경기도 양주시 남면 감악산로244번길 189,31,20190908,126.9738399010,37.8931800166,5033,18,20190908,감악문화축제 2019
